line_start	selector	property_count	important_count	media_query
924	.dropdown-click--false .navbar-item.has-mega-menu:hover .menu__heading, .mega-menu__section.is-active .mega-menu .menu__heading, .mega-menu.mega-menu--show .menu__heading, .mega-menu.mega-menu--force-show .menu__heading	5	0	@media (min-width: 799px)
935	@keyframes mega-col-in	4	0	@media (min-width: 799px)
947	.dropdown-click--false .navbar-item.has-mega-menu:hover .mega-menu .mega-menu__block, .mega-menu__section.is-active .mega-menu .mega-menu__block, .mega-menu.mega-menu--show .mega-menu__block, .mega-menu.mega-menu--force-show .mega-menu__block	5	0	@media (min-width: 799px)
958	.mega-menu__block:nth-child(1)	1	0	@media (min-width: 799px)
961	.mega-menu__block:nth-child(2)	1	0	@media (min-width: 799px)
962	.mega-menu__block:nth-child(3)	1	0	@media (min-width: 799px)
963	.mega-menu__block:nth-child(4)	1	0	@media (min-width: 799px)
964	.mega-menu__block:nth-child(5)	1	0	@media (min-width: 799px)
965	.mega-menu__block:nth-child(6)	1	0	@media (min-width: 799px)
966	.mega-menu .container.has-no-side-gutter	6	6	@media (min-width: 799px)
977	.mega-menu .mega-menu__block	5	4	@media (min-width: 799px)
985	.mega-menu .mega-menu__content a	5	0	@media (min-width: 799px)
994	.mega-menu .mega-menu__content a:hover	1	0	@media (min-width: 799px)
999	.mega-menu a, .mega-menu a:active, .mega-menu a:visited	1	0	@media (min-width: 799px)
1006	.mega-menu .mega-menu__heading, .mega-menu .menu__heading	2	0	@media (min-width: 799px)
1012	.mega-menu a:hover	1	0	@media (min-width: 799px)
1018	.button, a.button	8	1	
1042	.button:hover, a.button:hover	1	0	@media (prefers-reduced-motion: no-preference)
1047	.purchase-details__buttons .ajax-submit.button--add-to-cart	2	0	
1053	.purchase-details__buttons .action_button.action_button--secondary:hover	2	0	
1058	gravity-button.accelerated-checkout-button	1	0	
1063	a.button--primary-action, button.button--primary-action, .button--primary-action	16	1	
1089	.button--primary-action:hover	2	0	
1096	.button--primary-action:hover	1	0	@media (prefers-reduced-motion: no-preference)
1100	a.button--secondary.button, button.button--secondary.button, .button--secondary	6	1	
1116	.toggle-text	11	0	
1133	.toggle-text:focus	2	0	
1138	.toggle-text:hover	2	0	
1143	.button.button--primary, a.button.button--primary, button.button--primary	6	5	
1157	.button.button--primary:hover, a.button.button--primary:hover, button.button--primary:hover	3	3	
1165	.rich-text__content .buttons	1	0	
1171	a	2	0	
1181	p a:not(.button):not([class*="logo"])	1	0	
1186	p a:not(.button):not([class*="logo"])::after	9	0	
1198	p a:not(.button):not([class*="logo"]):hover::after	1	0	
1219	[id*="index_video_e3PxRq"] .video-wrapper	4	2	@media (min-width: 799px)
1225	[id*="index_video_e3PxRq"] .html5-video-wrapper	3	3	@media (min-width: 799px)
1232	.video-present--true .video__text-container	1	0	
1240	[id*="index_video_e3PxRq"] .video__text-container	1	1	@media (max-width: 798px)
1244	.has-video-added .video-section-poster	1	0	
1252	.has-video-added .video-wrapper	1	0	
1255	.video-player	4	0	
1262	.plyr__video-embed video	3	0	
1268	.video__text-wrapper	2	0	
1277	.video__text-wrapper	2	0	@media (max-width: 798px)
1282	.video__text-wrapper .button	1	0	
1287	.swatch input	9	0	
1307	.swatch input:focus-visible + .swatch-element	2	0	
1312	.swatch input:checked + .swatch-element	2	0	
1317	.swatch label	2	0	
1322	.swatch__options.custom-size, .swatch__options.custom-type, .swatch__options.custom-colour	4	0	
1331	.swatch__options[data-count="2"]	1	0	
1334	.swatch__options[data-count="3"]	1	0	
1335	.swatch__options[data-count="4"]	1	0	
1336	.swatch__options[data-count="5"]	1	0	
1337	.swatch__options[data-count="6"]	1	0	
1338	.swatch-element	2	0	
1346	.swatch-element:hover	3	0	
1354	.swatch-element:hover	1	0	@media (prefers-reduced-motion: no-preference)
1358	.purchase-details .purchase-details__spb--true	1	0	
1364	.swatch label	2	0	@media (max-width: 798px)
1369	.collection-list__wrapper	2	0	
1385	.jsCollectionList .collection-list__thumbnail	3	0	
1392	.jsCollectionList .collection-list__thumbnail .image-element__wrap, .jsCollectionList .collection-list__thumbnail img	4	0	
1401	.jsCollectionList .collection-info__caption .title	7	0	
1412	.featured-collection-section .featured-collection__heading-row	1	0	
1418	.featured-collection-section .featured-collection__title	1	0	
1422	.featured-collection__view-all	1	0	
1430	.featured-collection__view-all-link	10	0	
1443	.featured-collection__view-all-link:hover	3	0	
1449	html body .image-with-text-overlay .caption-content	1	0	
1465	.image-with-text-overlay .caption-content	1	0	@supports (backdrop-filter: blur(2px))
1469	.image-with-text-overlay__heading	3	0	
1475	.image-with-text-overlay__preheading.banner__subheading.pretext.subtitle	1	0	
1479	.caption-content .buttons, .caption-content .button-group, .image-with-text-overlay__buttons	6	0	
1491	.section--art-story .image-element__wrap, .section--about-brett .image-element__wrap	7	0	
1503	html body .section--art-story .caption-content, html body .section--about-brett .caption-content	4	4	
1512	html body .section--art-story .caption-content .image-with-text-overlay__heading, html body .section--art-story .caption-content h2, html body .section--about-brett .caption-content .image-with-text-overlay__heading, html body .section--about-brett .caption-content h2	1	1	
1519	html body .section--art-story .caption-content .image-with-text-overlay__preheading, html body .section--about-brett .caption-content .image-with-text-overlay__preheading	1	1	
1524	html body .section--art-story .caption-content .image-with-text-overlay__subheading, html body .section--about-brett .caption-content .image-with-text-overlay__subheading	1	1	
1533	.section--art-story .caption-content.text-align-center, .section--about-brett .caption-content.text-align-center	3	0	@media (min-width: 799px)
1542	.section--art-story .image-element__wrap, .section--about-brett .image-element__wrap	2	0	@media (max-width: 798px)
1547	html body .section--art-story .caption-content, html body .section--about-brett .caption-content	4	4	@media (max-width: 798px)
1558	html body .section--art-story .caption-content h2, html body .section--art-story .caption-content .image-with-text-overlay__heading, html body .section--art-story .caption-content .image-with-text-overlay__preheading, html body .section--art-story .caption-content .image-with-text-overlay__subheading, html body .section--art-story .caption-content p, html body .section--about-brett .caption-conten	1	1	@media (max-width: 798px)
1571	.section--featured-slideshow .slideshow-classic-container, .section--featured-slideshow .flickity-viewport, .section--featured-slideshow .slideshow-classic__banner	1	0	
1583	.section--featured-slideshow .image-element__wrap.is-hidden-mobile-only	6	0	
1593	.section--featured-slideshow .image-element__wrap.is-hidden-desktop-only	6	0	
1603	.section--featured-slideshow .caption-content.text-align-center	3	0	
1611	.section--featured-slideshow .caption-content.text-align-center	1	0	@media (max-width: 798px)
1615	.footer__block.block__newsletter .footer__heading	2	0	
1636	.footer__block.block__newsletter .newsletter-form .input	3	0	
1641	.footer__block.block__newsletter .newsletter-form button[type="submit"]	5	0	
1649	.footer__block.block__newsletter .newsletter-form button[type="submit"]:hover	2	0	
1654	html body [id*="trust_icon_bar"]	1	0	
1664	html body [id*="trust_icon_bar"] .icon-bar__block, html body [id*="trust_icon_bar"] a.icon-bar__block	1	0	
1669	html body [id*="trust_icon_bar"] a.icon-bar__block:hover	1	0	
1673	[id*="trust_icon_bar"] .icon-bar__wrapper	2	0	
1678	[id*="trust_icon_bar"] .section	2	0	
1686	[id*="trust_icon_bar"] .section::before, [id*="trust_icon_bar"] .section::after	1	1	
1691	[id*="trust_icon_bar"] .container	1	0	
1696	[id*="trust_icon_bar"] .icon-bar__block	1	0	
1700	[id*="trust_icon_bar"] .trust-marquee__set .icon-bar__block:first-child	1	0	
1707	[id*="trust_icon_bar"] .trust-marquee__set .icon-bar__block:last-child	1	0	
1710	.footer__content	1	0	
1725	.footer__bottom, [class*="footer-bottom"]	1	0	
1730	.footer__extra-content	7	2	
1746	.footer__content.section	2	2	
1754	.footer__extra-content .sub-footer	4	0	
1761	.footer__extra-content a	1	0	
1765	.footer__extra-content a:hover	1	0	
1769	.footer a	3	0	
1776	.footer a::after	8	0	
1787	.footer a:hover	1	0	
1791	.footer a:hover::after	1	0	
1795	.footer a img::after, .footer a.button::after, .footer a[class*="logo"]::after	1	0	
1802	.footer__content .container.has-limit	1	0	
1808	.footer__block	1	0	
1813	.footer__block .footer__heading	1	0	
1817	.footer__block.block__newsletter	3	1	
1824	.footer__block.block__newsletter .newsletter-form__wrapper	1	0	
1828	.footer__content .block__link-list.one-fifth, .footer__content .block__text.one-fifth	1	1	
1834	li.footer__menu-link	1	0	
1839	li.footer__menu-link:last-child	1	0	
1843	.footer__heading + .has-padding-bottom.has-padding-top	2	0	
1857	.footer__content .container.has-limit	5	5	@media (max-width: 798px)
1866	.footer__content .container.has-limit .footer__block	2	2	@media (max-width: 798px)
1872	.footer__content .container.has-limit .footer__block.block__newsletter	3	3	@media (max-width: 798px)
1879	.footer__block.block__text ul.social-icons	5	5	@media (max-width: 798px)
1888	.footer__block.block__text ul.social-icons li	2	2	@media (max-width: 798px)
1893	.footer__block.block__text ul.social-icons li a span:not(.icon)	1	1	@media (max-width: 798px)
1898	.footer__block.block__text ul.social-icons li a	4	4	@media (max-width: 798px)
1905	.footer__block.block__link-list .footer__menu-link a[href="/collections"], .footer__block.block__link-list .footer__menu-link a[href="/collections/all"]	1	1	@media (max-width: 798px)
1911	.footer__block.block__link-list .footer__menu-link:has(a[href="/collections"]), .footer__block.block__link-list .footer__menu-link:has(a[href="/collections/all"])	1	1	@media (max-width: 798px)
1915	.footer__block .footer__heading	5	5	@media (max-width: 798px)
1924	li.footer__menu-link	1	1	@media (max-width: 798px)
1929	.footer__content.section	2	2	@media (max-width: 798px)
1935	.footer__payment-methods .payment-methods	5	5	@media (max-width: 798px)
1944	.footer__payment-methods .payment-icon	3	3	@media (max-width: 798px)
1950	ul.social-icons.is-flex.is-flex-wrap	5	0	
1961	ul.social-icons.is-flex.is-flex-wrap li	3	0	
