line_start	selector	property_count	important_count	media_query
3689	.section--category-grid.fadeIn .collection-list__thumbnail:nth-child(1)	3	0	@media (min-width: 799px) and (prefers-reduced-motion: no-preference)
3690	.section--category-grid.fadeIn .collection-list__thumbnail:nth-child(2)	3	0	@media (min-width: 799px) and (prefers-reduced-motion: no-preference)
3691	.section--category-grid.fadeIn .collection-list__thumbnail:nth-child(3)	3	0	@media (min-width: 799px) and (prefers-reduced-motion: no-preference)
3692	.section--category-grid.fadeIn .collection-list__thumbnail:nth-child(4)	3	0	@media (min-width: 799px) and (prefers-reduced-motion: no-preference)
3693	.section--category-grid.fadeIn .collection-list__thumbnail:nth-child(5)	3	0	@media (min-width: 799px) and (prefers-reduced-motion: no-preference)
3694	.section--category-grid.fadeIn .collection-list__thumbnail:nth-child(6)	3	0	@media (min-width: 799px) and (prefers-reduced-motion: no-preference)
3699	.section--category-grid .collection-list__thumbnail	2	0	@media (min-width: 799px) and (prefers-reduced-motion: reduce)
3703	.section--category-grid.fadeIn .collection-list__thumbnail	1	0	@media (min-width: 799px) and (prefers-reduced-motion: reduce)
3727	.is-hidden-mobile-only	1	1	@media only screen and (max-width: 799px)
3734	.header__item .navbar-link, .navbar-link	2	2	@media only screen and (min-width: 799px) and (max-width: 900px)
3759	.js-product_section.one-fourth	1	1	@media only screen and (min-width: 799px) and (max-width: 1024px)
3763	.collection__breadcrumb	5	0	
3772	:focus, :focus-visible	1	1	
3793	.video-section .buttons .button, .video-section .buttons a.button	4	1	
3802	.footer__block.block__newsletter .newsletter-form__input	1	1	
3808	h2:not(.featured-collection__title):not(.rich-text__heading), .h2	1	1	@media only screen and (min-width: 481px) and (max-width: 798px)
3813	.pagination a, .pagination span.current	7	2	
3828	h2.footer__heading	3	0	
3836	.collection__description-toggle	1	1	
3841	#template-product .flickity-prev-next-button	2	2	
3847	.collection-matrix .product-thumbnail__title	3	0	
3859	.collection-matrix .product-thumbnail__price	3	0	
3864	.collection__filters .is-grouped	2	2	
3870	.collection__product-count	5	0	
3878	.collection__product-count	1	0	@media (max-width: 798px)
3882	.collection__main	1	0	
3898	#template-collection .banner__wrapper.is-small .image-element__wrap	2	0	@media (max-width: 798px)
3907	#template-collection .banner__content	2	0	@media (max-width: 480px)
3916	.collection__description-text	1	0	@media (min-width: 799px)
3923	.js-product_section.one-fourth	1	1	@media (min-width: 1401px)
3932	#template-collection .banner__wrapper.is-small .image-element__wrap	2	0	@media (min-width: 1401px)
3959	.shopify-section, .dynamic-sections	2	0	@media (max-width: 798px)
3964	.container, .container.has-limit, .columns, .one-whole, .collection-list__wrapper	3	0	@media (max-width: 798px)
3974	.section.is-width-wide .container.has-limit, .section.is-width-full .container.has-limit	1	1	@media (max-width: 798px)
3985	.section--category-grid .collection-list__wrapper:not(.flickity-enabled)	4	2	@media (max-width: 798px)
3992	.section--category-grid .collection-list__wrapper:not(.flickity-enabled) .collection-list__thumbnail	2	2	@media (max-width: 798px)
3997	.section--category-grid .collection-list__wrapper.flickity-enabled	1	1	@media (max-width: 798px)
4006	.footer__block.block__newsletter	2	1	@media (max-width: 798px)
4010	.footer__block.block__newsletter .newsletter-form__wrapper, .footer__block.block__newsletter .newsletter-form, .footer__block.block__newsletter .newsletter-form .field	1	1	@media (max-width: 798px)
4016	.footer__block.block__newsletter .newsletter-form__input, .footer__block.block__newsletter .newsletter-form input[type="email"]	4	4	@media (max-width: 798px)
4028	.mobile-logo	2	0	@media (max-width: 798px)
4032	.mobile-logo img	3	3	@media (max-width: 798px)
4044	.mobile-menu__toggle-button	7	7	@media (max-width: 798px)
4054	.skip-to-content-link	1	0	
4077	.header__icons .action-area__link	5	0	@media (min-width: 799px)
4084	.header__icons .header-cart	5	0	@media (min-width: 799px)
4092	.footer ul.social-icons.is-flex.is-flex-wrap li a	3	0	
4099	.featured-collection .product-thumbnail__title a, .product-grid-item .product-thumbnail__title a	3	0	
4110	.mobile-menu__toggle-icon	5	0	@media (max-width: 798px)
4118	@keyframes lc-marquee-scroll	2	0	
4128	.lc-marquee-section	5	5	
4137	.lc-marquee	4	0	
4144	.lc-marquee__track	6	0	
4153	.lc-marquee__track:hover	1	0	
4157	.lc-marquee__item	5	0	
4166	.lc-marquee__img	4	0	
4174	.lc-marquee__img img, .lc-marquee__img .placeholder-svg	5	0	
4183	.lc-marquee__text	1	0	
4188	.lc-marquee__quote p	7	0	
4198	.lc-marquee__author p	3	0	
4206	.lc-marquee__item, .lc-marquee__img, .lc-marquee__text	1	0	@media (max-width: 798px)
4211	.lc-marquee__img	1	0	@media (max-width: 798px)
4226	.header__inner-content	3	0	@media (min-width: 1401px)
4244	[id*="index_collection_list_nXAtbe"] .column.one-sixth	1	0	@media (min-width: 799px) and (max-width: 1024px)
4261	[id*="index_collection_list_nXAtbe"] .collection-list__wrapper	8	3	@media (max-width: 798px)
4271	[id*="index_collection_list_nXAtbe"] .collection-list__wrapper::-webkit-scrollbar	1	0	@media (max-width: 798px)
4274	[id*="index_collection_list_nXAtbe"] .collection-list__thumbnail	4	3	@media (max-width: 798px)
4280	[id*="index_collection_list_nXAtbe"] .image__container	3	3	@media (max-width: 798px)
4285	[id*="index_collection_list_nXAtbe"] .image__container img, [id*="index_collection_list_nXAtbe"] .image__container .image-element	4	4	@media (max-width: 798px)
4292	[id*="index_collection_list_nXAtbe"] .collection-info__caption .btn, [id*="index_collection_list_nXAtbe"] .collection-info__caption [class*="btn"], [id*="index_collection_list_nXAtbe"] .collection-info__caption button	1	1	@media (max-width: 798px)
4299	[id*="index_collection_list_nXAtbe"] .collection-info__caption	3	3	@media (max-width: 798px)
4307	[id*="index_collection_list_nXAtbe"] .collection-info__caption-wrapper	5	5	@media (max-width: 798px)
4314	[id*="index_collection_list_nXAtbe"] .collection-info__caption .title	5	5	@media (max-width: 798px)
4329	.lc-slide-mobile-img	4	4	@media (max-width: 798px)
4336	.lc-slide-mobile-img .image-element__wrap	4	4	@media (max-width: 798px)
4342	.lc-slide-mobile-img img	5	5	@media (max-width: 798px)
4349	.section--featured-slideshow .caption	1	1	@media (max-width: 798px)
4354	#shopify-section-index_slideshow_classic_mewq3w .gallery-cell	1	1	@media (max-width: 798px)
